CCGName,pcApr19Apr20,pcApr19Apr21,imdquantile,value,Region,ols
NHS TAMESIDE AND GLOSSOP CCG,-.048963074,.10563221,5,-4.8963075,NW,-10.753942
NHS THURROCK CCG,-.044462353,-.023158329,3,-4.4462352,EE,-10.183729
NHS TRAFFORD CCG,.030538412,.20604883,2,3.0538411,NW,-9.8986225
NHS VALE OF YORK CCG,-.12724862,.072810866,1,-12.724861,YH,-9.6135159
NHS WAKEFIELD CCG,-.16473807,-.011177571,4,-16.473808,YH,-10.468836
NHS WARRINGTON CCG,-.061424904,.16911098,2,-6.1424904,NW,-9.8986225
NHS WEST ESSEX CCG,-.018682348,.19685698,2,-1.8682348,EE,-9.8986225
NHS WEST LANCASHIRE CCG,-.16951513,.14336839,2,-16.951513,NW,-9.8986225
NHS WEST LEICESTERSHIRE CCG,-.028499512,.27678439,1,-2.8499513,EM,-9.6135159
NHS WEST SUFFOLK CCG,-.10329311,.098718777,2,-10.32931,EE,-9.8986225
NHS WIGAN BOROUGH CCG,-.072834648,.28932557,4,-7.2834649,NW,-10.468836
NHS WIRRAL CCG,-.1500987,.0037846463,4,-15.00987,NW,-10.468836
,,,0,,,-9.3284092
